Numero de jugada;MOC1;MOC2;MOC3;MOC4;MOC5;MOC6;MOC7;MOC8;MOC9;MOC10;MOC11;MOC12;MOC13;MOC14;MOC15;MOC16
1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0
2;2;1;0;1;0;1;2;0;2;1;0;0;2;0;0;0
3;0;2;0;2;0;2;3;0;0;0;0;1;0;0;1;0
4;0;3;1;3;0;3;4;0;1;0;1;2;0;0;0;1
5;0;0;0;4;1;4;0;0;2;0;2;3;0;1;1;2
6;0;1;0;5;0;5;0;0;3;0;3;4;0;0;2;3
7;1;0;0;6;0;6;0;1;4;0;4;5;1;1;0;4
8;2;1;1;7;0;7;1;0;5;0;5;6;2;0;0;0
9;3;2;2;8;1;8;2;0;6;0;6;7;3;0;0;0
10;4;3;3;9;0;9;3;0;0;0;7;8;4;0;1;0
11;5;4;0;10;0;10;4;1;0;1;8;9;5;0;0;0
12;6;5;0;11;0;11;5;2;0;2;9;10;0;0;0;0
13;7;6;0;12;0;12;6;3;0;0;0;11;0;1;1;1
14;8;7;0;13;0;13;0;0;1;1;0;12;0;2;0;0
15;9;8;0;14;0;14;0;1;0;0;1;13;0;3;1;0
16;10;9;0;15;0;15;0;2;0;1;2;14;0;4;0;0
17;11;10;0;16;1;16;0;0;1;0;0;15;0;5;0;0
18;0;11;1;0;0;17;0;1;2;0;0;16;0;6;0;0
19;0;12;2;0;0;0;0;2;3;0;1;17;1;7;0;0
20;0;0;0;0;0;0;0;3;4;0;2;18;2;8;0;0
21;1;0;0;1;0;0;1;4;5;1;3;0;3;0;0;1
22;2;0;0;0;0;0;0;0;6;0;4;0;4;0;0;0
23;3;1;0;0;0;1;1;0;7;0;5;0;5;0;0;1
24;4;2;0;0;0;2;0;0;8;1;6;1;6;0;1;2
25;5;3;0;0;0;3;0;1;9;2;0;2;7;1;0;3
26;6;4;0;0;1;0;0;2;10;3;0;3;8;2;0;4
27;7;5;1;0;2;0;0;3;0;0;0;4;0;3;0;5
28;8;6;2;0;3;0;1;4;0;0;1;0;0;4;0;6
29;9;7;0;0;4;0;0;0;0;0;0;0;1;0;0;7
30;10;8;0;0;5;1;0;1;0;0;0;0;2;1;0;8
31;11;9;0;0;6;2;0;0;0;1;0;1;3;2;0;9
32;0;0;0;0;0;3;1;0;0;2;0;2;4;0;0;10
33;0;0;0;0;0;4;0;0;1;3;0;3;5;1;0;11
34;0;0;0;0;0;5;0;0;0;4;0;4;6;2;0;12
35;0;1;0;0;0;6;0;0;0;0;0;5;7;3;0;13
36;1;0;0;1;0;7;0;0;0;1;0;6;8;0;0;14
37;0;0;0;2;0;8;0;0;1;0;0;7;9;0;0;15
38;0;0;0;3;0;0;0;0;0;0;0;0;10;0;0;16
39;1;1;0;4;0;0;0;0;0;1;0;0;11;0;0;0
40;2;0;1;5;0;0;0;0;0;2;1;0;12;0;0;0
41;3;0;2;0;0;0;0;0;1;0;2;0;0;0;1;1
42;4;0;3;0;0;0;0;1;2;1;3;0;1;0;0;2
43;5;0;4;1;0;1;1;0;0;2;4;1;2;0;0;3
44;6;0;5;2;0;2;2;0;0;3;5;2;3;0;0;4
45;7;0;6;3;0;3;3;0;0;4;6;3;4;0;0;0
46;8;0;0;4;0;4;4;0;0;0;7;4;0;0;0;0
47;0;0;0;0;0;5;0;0;0;0;8;5;1;0;0;1
48;0;1;0;0;1;6;0;0;0;0;0;6;2;0;1;2
49;0;2;0;1;2;7;0;0;0;0;0;7;3;0;2;0
50;0;3;0;2;3;8;0;0;0;0;0;8;4;0;3;0
51;1;4;0;3;4;9;0;0;0;0;1;9;5;0;0;0
52;2;5;0;4;0;10;0;0;0;0;2;0;6;1;1;0
53;0;6;0;5;0;11;0;1;0;0;3;0;7;2;0;0
54;0;7;0;6;0;0;0;0;1;0;4;0;8;3;0;1
55;0;8;0;7;0;0;0;0;0;1;5;1;0;4;1;2
56;0;9;0;8;0;0;1;0;0;0;6;0;0;0;0;3
57;0;10;0;0;0;0;2;0;0;0;7;0;0;1;1;0
58;0;11;0;0;0;0;3;0;0;0;8;0;0;2;0;0
59;0;12;0;1;0;0;4;0;0;0;9;0;0;0;0;1
