Numero de jugada;Partida 1;Partida 2;Partida 3;Partida 4;Partida 5;Partida 6;Partida 7;Partida 8;Partida 9;Partida 10;Partida 11;Partida 12;Partida 13;Partida 14;Partida 15;Partida 16
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;2;1;3;1;1;1;2;2;2;1;3;3;2;1;2;1
2;4;2;5;2;3;2;4;2;4;2;5;5;4;3;2;1
3;4;4;9;4;5;4;7;3;4;2;9;8;6;5;4;3
4;6;7;11;7;9;7;10;5;7;3;11;6;8;9;4;2
5;8;7;14;10;11;10;10;5;10;5;15;7;5;11;7;4
6;9;10;18;12;14;12;13;9;12;9;19;10;5;11;10;7
7;11;13;25;16;18;16;17;11;16;9;26;12;8;15;10;10
8;15;12;29;20;25;20;23;14;20;8;22;16;6;15;10;10
9;19;16;32;28;29;28;21;18;28;5;23;20;7;11;7;13
10;26;20;36;31;33;31;20;25;30;3;21;28;10;9;10;10
11;22;28;43;35;37;35;28;29;34;2;20;31;12;5;10;7
12;23;31;45;40;44;40;31;32;39;4;28;35;13;3;13;7
13;21;35;44;47;49;47;35;36;39;4;30;40;13;2;12;10
14;20;40;49;52;57;52;35;36;46;7;34;47;10;4;12;13
15;28;47;57;60;65;60;31;42;51;7;38;52;10;7;16;17
16;31;52;65;71;81;71;31;48;51;10;41;60;10;10;16;13
17;35;60;81;82;83;82;31;54;50;10;35;71;10;12;21;17
18;41;71;83;85;86;84;28;55;58;10;35;82;10;16;23;13
19;38;82;87;89;90;84;20;63;66;10;40;84;12;20;22;10
20;39;85;83;94;97;85;20;76;73;10;47;88;16;28;26;7
21;46;89;86;101;102;89;28;68;72;12;52;93;20;30;27;10
22;50;94;90;107;109;94;28;59;70;12;60;95;28;28;24;13
23;58;101;97;115;117;101;31;51;71;12;71;94;31;30;25;12
24;66;106;97;127;130;106;31;51;82;16;82;101;35;34;29;16
25;73;114;90;127;138;114;30;50;84;20;85;106;40;38;29;20
26;72;125;86;115;144;124;34;58;88;28;89;114;47;41;33;28
27;70;121;87;107;152;114;39;66;88;30;94;125;53;40;33;31
28;71;120;91;101;165;106;46;73;84;30;101;114;61;47;33;35
29;82;123;87;94;176;101;46;73;85;30;101;106;72;53;37;40
30;84;122;86;89;188;106;39;72;89;28;107;106;70;52;37;47
31;88;136;90;85;204;114;38;73;89;31;115;114;71;60;37;52
32;93;141;97;85;229;125;41;73;94;35;127;125;82;70;37;60
33;95;149;102;85;231;121;35;73;101;40;115;121;84;71;44;71
34;89;159;109;89;230;120;31;61;107;47;107;120;88;82;49;82
35;94;173;117;94;234;123;31;53;115;47;101;123;92;84;49;84
36;101;182;130;101;235;122;28;53;127;52;94;122;100;84;49;88
